concert hall;floor;side;row;number;x;y
Kodály Központ, Pécs;orchestra;left;A;1;321;228
Kodály Központ, Pécs;orchestra;left;A;2;335;228
Kodály Központ, Pécs;orchestra;left;A;3;350;228
Kodály Központ, Pécs;orchestra;left;A;4;364;228
Kodály Központ, Pécs;orchestra;left;A;5;378;228
Kodály Központ, Pécs;orchestra;left;A;6;394;228
Kodály Központ, Pécs;orchestra;left;A;7;407;228
Kodály Központ, Pécs;orchestra;left;A;8;421;228
Kodály Központ, Pécs;orchestra;left;A;9;435;228
Kodály Központ, Pécs;orchestra;left;A;10;450;228

Kodály Központ, Pécs;orchestra;left;B;1;321;250
Kodály Központ, Pécs;orchestra;left;B;2;335;250
Kodály Központ, Pécs;orchestra;left;B;3;350;250
Kodály Központ, Pécs;orchestra;left;B;4;364;250
Kodály Központ, Pécs;orchestra;left;B;5;378;250
Kodály Központ, Pécs;orchestra;left;B;6;394;250
Kodály Központ, Pécs;orchestra;left;B;7;407;250
Kodály Központ, Pécs;orchestra;left;B;8;421;250
Kodály Központ, Pécs;orchestra;left;B;9;435;250
Kodály Központ, Pécs;orchestra;left;B;10;450;250

Kodály Központ, Pécs;orchestra;left;C;1;314;273
Kodály Központ, Pécs;orchestra;left;C;2;328;273
Kodály Központ, Pécs;orchestra;left;C;3;343;273
Kodály Központ, Pécs;orchestra;left;C;4;357;273
Kodály Központ, Pécs;orchestra;left;C;5;371;273
Kodály Központ, Pécs;orchestra;left;C;6;385;273
Kodály Központ, Pécs;orchestra;left;C;7;400;273
Kodály Központ, Pécs;orchestra;left;C;8;414;273
Kodály Központ, Pécs;orchestra;left;C;9;428;273
Kodály Központ, Pécs;orchestra;left;C;10;443;273
Kodály Központ, Pécs;orchestra;left;C;11;457;273

Kodály Központ, Pécs;orchestra;left;D;1;314;296
Kodály Központ, Pécs;orchestra;left;D;2;328;296
Kodály Központ, Pécs;orchestra;left;D;3;343;296
Kodály Központ, Pécs;orchestra;left;D;4;357;296
Kodály Központ, Pécs;orchestra;left;D;5;371;296
Kodály Központ, Pécs;orchestra;left;D;6;385;296
Kodály Központ, Pécs;orchestra;left;D;7;400;296
Kodály Központ, Pécs;orchestra;left;D;8;414;296
Kodály Központ, Pécs;orchestra;left;D;9;428;296
Kodály Központ, Pécs;orchestra;left;D;10;443;296
Kodály Központ, Pécs;orchestra;left;D;11;457;296

Kodály Központ, Pécs;orchestra;left;E;1;307;318
Kodály Központ, Pécs;orchestra;left;E;2;321;318
Kodály Központ, Pécs;orchestra;left;E;3;335;318
Kodály Központ, Pécs;orchestra;left;E;4;350;318
Kodály Központ, Pécs;orchestra;left;E;5;364;318
Kodály Központ, Pécs;orchestra;left;E;6;378;318
Kodály Központ, Pécs;orchestra;left;E;7;393;318
Kodály Központ, Pécs;orchestra;left;E;8;407;318
Kodály Központ, Pécs;orchestra;left;E;9;421;318
Kodály Központ, Pécs;orchestra;left;E;10;435;318
Kodály Központ, Pécs;orchestra;left;E;11;450;318
Kodály Központ, Pécs;orchestra;left;E;12;464;318

Kodály Központ, Pécs;orchestra;left;F;1;307;342
Kodály Központ, Pécs;orchestra;left;F;2;321;342
Kodály Központ, Pécs;orchestra;left;F;3;335;342
Kodály Központ, Pécs;orchestra;left;F;4;350;342
Kodály Központ, Pécs;orchestra;left;F;5;364;342
Kodály Központ, Pécs;orchestra;left;F;6;378;342
Kodály Központ, Pécs;orchestra;left;F;7;393;342
Kodály Központ, Pécs;orchestra;left;F;8;407;342
Kodály Központ, Pécs;orchestra;left;F;9;421;342
Kodály Központ, Pécs;orchestra;left;F;10;435;342
Kodály Központ, Pécs;orchestra;left;F;11;450;342
Kodály Központ, Pécs;orchestra;left;F;12;464;342

Kodály Központ, Pécs;orchestra;left;G;1;292;364
Kodály Központ, Pécs;orchestra;left;G;2;307;364
Kodály Központ, Pécs;orchestra;left;G;3;321;364
Kodály Központ, Pécs;orchestra;left;G;4;335;364
Kodály Központ, Pécs;orchestra;left;G;5;350;364
Kodály Központ, Pécs;orchestra;left;G;6;364;364
Kodály Központ, Pécs;orchestra;left;G;7;378;364
Kodály Központ, Pécs;orchestra;left;G;8;393;364
Kodály Központ, Pécs;orchestra;left;G;9;407;364
Kodály Központ, Pécs;orchestra;left;G;10;421;364
Kodály Központ, Pécs;orchestra;left;G;11;435;364
Kodály Központ, Pécs;orchestra;left;G;12;450;364
Kodály Központ, Pécs;orchestra;left;G;13;464;364

Kodály Központ, Pécs;orchestra;left;I;1;344;422
Kodály Központ, Pécs;orchestra;left;I;2;360;420
Kodály Központ, Pécs;orchestra;left;I;3;374;416
Kodály Központ, Pécs;orchestra;left;I;4;388;414
Kodály Központ, Pécs;orchestra;left;I;5;401;411
Kodály Központ, Pécs;orchestra;left;I;6;416;408
Kodály Központ, Pécs;orchestra;left;I;7;430;406
Kodály Központ, Pécs;orchestra;left;I;8;444;403
Kodály Központ, Pécs;orchestra;left;I;9;458;400
Kodály Központ, Pécs;orchestra;left;I;10;471;397

Kodály Központ, Pécs;orchestra;left;II;1;351;446
Kodály Központ, Pécs;orchestra;left;II;2;365;442
Kodály Központ, Pécs;orchestra;left;II;3;380;440
Kodály Központ, Pécs;orchestra;left;II;4;394;437
Kodály Központ, Pécs;orchestra;left;II;5;407;434
Kodály Központ, Pécs;orchestra;left;II;6;421;431
Kodály Központ, Pécs;orchestra;left;II;7;436;428
Kodály Központ, Pécs;orchestra;left;II;8;450;426
Kodály Központ, Pécs;orchestra;left;II;9;464;423
Kodály Központ, Pécs;orchestra;left;II;10;477;420

Kodály Központ, Pécs;orchestra;left;III;1;357;468
Kodály Központ, Pécs;orchestra;left;III;2;372;465
Kodály Központ, Pécs;orchestra;left;III;3;386;462
Kodály Központ, Pécs;orchestra;left;III;4;401;460
Kodály Központ, Pécs;orchestra;left;III;5;414;457
Kodály Központ, Pécs;orchestra;left;III;6;429;454
Kodály Központ, Pécs;orchestra;left;III;7;442;451
Kodály Központ, Pécs;orchestra;left;III;8;455;447
Kodály Központ, Pécs;orchestra;left;III;9;470;446
Kodály Központ, Pécs;orchestra;left;III;10;485;443

Kodály Központ, Pécs;orchestra;left;IV;1;364;491
Kodály Központ, Pécs;orchestra;left;IV;2;379;488
