concert hall;floor;side;row;number;x;y
Műegyetem K épület, aula;orchestra;left;1;1;40;228
Műegyetem K épület, aula;orchestra;left;1;2;54;228
Műegyetem K épület, aula;orchestra;left;1;3;68;228
Műegyetem K épület, aula;orchestra;left;1;4;82;228
Műegyetem K épület, aula;orchestra;left;1;5;96;228
Műegyetem K épület, aula;orchestra;left;1;6;110;228
Műegyetem K épület, aula;orchestra;left;1;7;124;228
Műegyetem K épület, aula;orchestra;left;1;8;138;228
Műegyetem K épület, aula;orchestra;left;1;9;152;228
Műegyetem K épület, aula;orchestra;left;1;10;166;228
Műegyetem K épület, aula;orchestra;left;1;11;180;228
Műegyetem K épület, aula;orchestra;left;1;12;194;228

Műegyetem K épület, aula;orchestra;left;2;1;40;250
Műegyetem K épület, aula;orchestra;left;2;2;54;250
Műegyetem K épület, aula;orchestra;left;2;3;68;250
Műegyetem K épület, aula;orchestra;left;2;4;82;250
Műegyetem K épület, aula;orchestra;left;2;5;96;250
Műegyetem K épület, aula;orchestra;left;2;6;110;250
Műegyetem K épület, aula;orchestra;left;2;7;124;250
Műegyetem K épület, aula;orchestra;left;2;8;138;250
Műegyetem K épület, aula;orchestra;left;2;9;152;250
Műegyetem K épület, aula;orchestra;left;2;10;166;250
Műegyetem K épület, aula;orchestra;left;2;11;180;250
Műegyetem K épület, aula;orchestra;left;2;12;194;250
Műegyetem K épület, aula;orchestra;left;2;13;208;250

Műegyetem K épület, aula;orchestra;left;3;1;40;273
Műegyetem K épület, aula;orchestra;left;3;2;54;273
Műegyetem K épület, aula;orchestra;left;3;3;68;273
Műegyetem K épület, aula;orchestra;left;3;4;82;273
Műegyetem K épület, aula;orchestra;left;3;5;96;273
Műegyetem K épület, aula;orchestra;left;3;6;110;273
Műegyetem K épület, aula;orchestra;left;3;7;124;273
Műegyetem K épület, aula;orchestra;left;3;8;138;273
Műegyetem K épület, aula;orchestra;left;3;9;152;273
Műegyetem K épület, aula;orchestra;left;3;10;166;273
Műegyetem K épület, aula;orchestra;left;3;11;180;273
Műegyetem K épület, aula;orchestra;left;3;12;194;273
Műegyetem K épület, aula;orchestra;left;3;13;208;273
Műegyetem K épület, aula;orchestra;left;3;14;222;273

Műegyetem K épület, aula;orchestra;left;4;1;40;296
Műegyetem K épület, aula;orchestra;left;4;2;54;296
Műegyetem K épület, aula;orchestra;left;4;3;68;296
Műegyetem K épület, aula;orchestra;left;4;4;82;296
Műegyetem K épület, aula;orchestra;left;4;5;96;296
Műegyetem K épület, aula;orchestra;left;4;6;110;296
Műegyetem K épület, aula;orchestra;left;4;7;124;296
Műegyetem K épület, aula;orchestra;left;4;8;138;296
Műegyetem K épület, aula;orchestra;left;4;9;152;296
Műegyetem K épület, aula;orchestra;left;4;10;166;296
Műegyetem K épület, aula;orchestra;left;4;11;180;296
Műegyetem K épület, aula;orchestra;left;4;12;194;296
Műegyetem K épület, aula;orchestra;left;4;13;208;296
Műegyetem K épület, aula;orchestra;left;4;14;222;296

Műegyetem K épület, aula;orchestra;left;5;1;40;318
Műegyetem K épület, aula;orchestra;left;5;2;54;318
Műegyetem K épület, aula;orchestra;left;5;3;68;318
Műegyetem K épület, aula;orchestra;left;5;4;82;318
Műegyetem K épület, aula;orchestra;left;5;5;96;318
Műegyetem K épület, aula;orchestra;left;5;6;110;318
Műegyetem K épület, aula;orchestra;left;5;7;124;318
Műegyetem K épület, aula;orchestra;left;5;8;138;318
Műegyetem K épület, aula;orchestra;left;5;9;152;318
Műegyetem K épület, aula;orchestra;left;5;10;166;318
Műegyetem K épület, aula;orchestra;left;5;11;180;318
Műegyetem K épület, aula;orchestra;left;5;12;194;318
Műegyetem K épület, aula;orchestra;left;5;13;208;318
Műegyetem K épület, aula;orchestra;left;5;14;222;318

Műegyetem K épület, aula;orchestra;left;6;1;40;342
Műegyetem K épület, aula;orchestra;left;6;2;54;342
Műegyetem K épület, aula;orchestra;left;6;3;68;342
Műegyetem K épület, aula;orchestra;left;6;4;82;342
Műegyetem K épület, aula;orchestra;left;6;5;96;342
Műegyetem K épület, aula;orchestra;left;6;6;110;342
Műegyetem K épület, aula;orchestra;left;6;7;124;342
Műegyetem K épület, aula;orchestra;left;6;8;138;342
Műegyetem K épület, aula;orchestra;left;6;9;152;342
Műegyetem K épület, aula;orchestra;left;6;10;166;342
Műegyetem K épület, aula;orchestra;left;6;11;180;342
Műegyetem K épület, aula;orchestra;left;6;12;194;342
Műegyetem K épület, aula;orchestra;left;6;13;208;342
Műegyetem K épület, aula;orchestra;left;6;14;222;342

Műegyetem K épület, aula;orchestra;left;7;1;40;364
Műegyetem K épület, aula;orchestra;left;7;2;54;364
Műegyetem K épület, aula;orchestra;left;7;3;68;364
Műegyetem K épület, aula;orchestra;left;7;4;82;364
Műegyetem K épület, aula;orchestra;left;7;5;96;364
Műegyetem K épület, aula;orchestra;left;7;6;110;364
Műegyetem K épület, aula;orchestra;left;7;7;124;364
Műegyetem K épület, aula;orchestra;left;7;8;138;364
Műegyetem K épület, aula;orchestra;left;7;9;152;364
Műegyetem K épület, aula;orchestra;left;7;10;166;364
Műegyetem K épület, aula;orchestra;left;7;11;180;364
Műegyetem K épület, aula;orchestra;left;7;12;194;364
Műegyetem K épület, aula;orchestra;left;7;13;208;364
Műegyetem K épület, aula;orchestra;left;7;14;222;364

Műegyetem K épület, aula;orchestra;left;8;1;40;386
Műegyetem K épület, aula;orchestra;left;8;2;54;386
Műegyetem K épület, aula;orchestra;left;8;3;68;386
Műegyetem K épület, aula;orchestra;left;8;4;82;386
Műegyetem K épület, aula;orchestra;left;8;5;96;386
Műegyetem K épület, aula;orchestra;left;8;6;110;386
Műegyetem K épület, aula;orchestra;left;8;7;124;386
Műegyetem K épület, aula;orchestra;left;8;8;138;386
Műegyetem K épület, aula;orchestra;left;8;9;152;386
Műegyetem K épület, aula;orchestra;left;8;10;166;386
Műegyetem K épület, aula;orchestra;left;8;11;180;386
Műegyetem K épület, aula;orchestra;left;8;12;194;386
Műegyetem K épület, aula;orchestra;left;8;13;208;386
Műegyetem K épület, aula;orchestra;left;8;14;222;386

Műegyetem K épület, aula;orchestra;left;9;1;40;408
Műegyetem K épület, aula;orchestra;left;9;2;54;408
Műegyetem K épület, aula;orchestra;left;9;3;68;408
Műegyetem K épület, aula;orchestra;left;9;4;82;408
Műegyetem K épület, aula;orchestra;left;9;5;96;408
Műegyetem K épület, aula;orchestra;left;9;6;110;408
Műegyetem K épület, aula;orchestra;left;9;7;124;408
Műegyetem K épület, aula;orchestra;left;9;8;138;408
Műegyetem K épület, aula;orchestra;left;9;9;152;408
Műegyetem K épület, aula;orchestra;left;9;10;166;408
Műegyetem K épület, aula;orchestra;left;9;11;180;408
Műegyetem K épület, aula;orchestra;left;9;12;194;408
Műegyetem K épület, aula;orchestra;left;9;13;208;408
Műegyetem K épület, aula;orchestra;left;9;14;222;408

Műegyetem K épület, aula;orchestra;left;10;1;40;430
Műegyetem K épület, aula;orchestra;left;10;2;54;430
Műegyetem K épület, aula;orchestra;left;10;3;68;430
Műegyetem K épület, aula;orchestra;left;10;4;82;430
Műegyetem K épület, aula;orchestra;left;10;5;96;430
Műegyetem K épület, aula;orchestra;left;10;6;110;430
Műegyetem K épület, aula;orchestra;left;10;7;124;430
Műegyetem K épület, aula;orchestra;left;10;8;138;430
