concert hall;floor;side;row;number;x;y
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;1;177;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;2;191;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;3;205;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;4;219;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;5;233;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;6;247;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;7;261;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;8;275;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;9;289;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;10;303;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;11;317;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;12;331;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;13;345;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;14;359;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;15;373;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;A;16;387;205

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;15;401;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;14;415;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;13;429;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;12;443;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;11;457;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;10;471;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;9;485;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;8;499;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;7;513;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;6;527;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;5;541;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;4;555;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;3;569;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;2;583;205
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;A;1;597;205

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;B;1;177;217
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;B;2;191;217
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;B;3;205;217
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;B;4;219;217
